Product_Input,Cheapest_Original_Material,Original_Price_USD,EISc_Original_Score,Sustainable_Alternative,Alternative_Price_USD,EISc_Alternative_Score
Electronic Housing,Chromated Copper Arsenate,6.6,10,Heat-treated Wood,6.67,3
Packaging Box,Recycled Steel,7.11,8, Recycled Steel,7.14,3
Electronic Housing,FSC-Certified Wood,1.63,8, Sustainable Wood,1.63,3
Automotive Component,Acrylonitrile,2.16,9,Bio-based Nitriles,2.18,3
Squeeze Bottle,Chlorinated Polyethylene,1.08,9,Natural Elastomers,1.06,3
Automotive Component,Polyphenylene Oxide,0.11,8,Bio-based Polyphenylene Oxide,0.11,3
Insulation Panel,Thermoplastic Polyurethane,4.14,8,Biodegradable TPU,4.19,3
Automotive Component,Methylene Chloride,7.43,9,Water-based Strippers,7.47,3
Electronic Housing,Chromated Copper Arsenate,9.61,10,Heat-treated Wood,9.88,3
3D Printer Filament,ABS,3.22,8,Recycled ABS or Wood-based Composites,3.15,3
General Appliance Part,Recycled Glass Bottles,5.86,8, Glass or Biodegradable Bottles,6.0,3
CDs/DVDs,Polycarbonate Sheet,7.25,9,Recycled Glass,7.39,3
Automotive Component,Polyvinyl Acetate Emulsion,7.43,8,Starch-based Adhesive,7.51,3
Shampoo Bottle,Bio-polyethylene,9.87,8,Biodegradable Polyethylene,9.58,3
Electronic Housing,Polyvinyl Alcohol (PVA),3.87,8, Biodegradable PVA,3.96,3
General Appliance Part,Palm Oil,2.21,8,Certified Sustainable Palm Oil,2.19,3
Wallet,Grape Leather,7.1,6,Wine Industry Byproduct Leather,7.1,2
Luggage,Polycarbonate Panels,3.09,9,Recycled Polycarbonate,3.11,3
Packaging Box,Spider Silk Protein,7.42,8,Recombinant Protein Fibers,7.27,3
Tote Bag,Cotton Waste,0.76,8,Hemp or Organic Cotton,0.74,3
General Appliance Part,Recycled Wool,8.19,8,Recycled Wool Insulation,8.34,3
Packaging Box,Foam Packing Peanuts,2.19,9,Cornstarch Packing Peanuts,2.22,2
General Appliance Part,Polybutylene Terephthalate,7.87,8,Biodegradable PBT,8.03,3
Toothbrush Bristles,Nylon Bristles,1.56,7,Bamboo or Plant-based Bristles,1.51,2
Clothing Apparel,Kenaf Fiber,1.08,6,Hibiscus Plant Fiber,1.05,2
Squeeze Bottle,Polyethylene (Plastic),4.93,9,Jute or Cotton,5.02,2
Automotive Component,Agar,4.8,8,Plant-based Agar,4.7,3
Automotive Component,Polyolefin Elastomer (POE),2.58,8, Biodegradable POE,2.59,3
Pen,Plastic Bags,7.73,9,Reusable Cloth Bags,7.78,2
Electronic Housing,Flax,8.82,7,Organic Cotton,9.04,3
Bag,Carbon Fiber,2.37,10,Natural Fiber Composites,2.32,4
Automotive Component,Benzene,7.45,10,Natural Solvents,7.39,3
Automotive Component,Methyl Isocyanate,5.93,10,Non-isocyanate Chemistry,6.01,4
Bag,Eucalyptus Pulp Fabric,8.51,6,Fast-growing Tree Fiber,8.29,2
Automotive Component,Acrylic Glass (Plexiglass),2.78,8,Polycarbonate or Glass,2.86,4
Automotive Component,Vinyl Acetate,7.62,8,Natural Acetylation,7.47,3
Shoes,Leather,3.93,9,Plant-based Leather,4.01,3
General Appliance Part,Bamboo Pulp,7.28,8,Recycled Pulp,7.37,3
Packaging Box,Recycled Wool,4.62,8,Recycled Wool Insulation,4.73,3
Upholstery,Natural Fiber,2.54,7, Biodegradable Fiber,2.53,2
Belt,Mushroom Leather,9.22,8,Mycelium Leather,9.39,3
Automotive Component,Polyisoprene,2.7,8, Natural Rubber,2.69,3
Storage Container,Plastic Straws,8.31,9,Bamboo or Metal Straws,8.27,2
Electronic Housing,Ethylene Vinyl Alcohol,5.85,8,Natural Barrier Materials,5.77,3
Sportswear,Non-Woven Polyester,6.88,8,Biodegradable Bamboo Fiber,7.03,2
Automotive Component,Brominated Flame Retardants,3.29,9,Phosphate-based Retardants,3.2,3
Eraser,Silicone Rubber,6.25,6,Natural Latex or Biodegradable Silicone,6.21,3
Packaging Box,Chlorine,7.01,10,Hydrogen Peroxide,7.0,3
Phone Case,Casein Plastics,0.51,7,Plant Protein Plastics,0.5,2
General Appliance Part,Aluminum Foil,5.21,8,Reusable Beeswax Wrap,5.13,2
Automotive Component,PTFE,3.75,10,Ceramic Coating or Cast Iron,3.7,4
Automotive Component,Cedar,3.93,8,Reclaimed Wood,3.98,3
Electronic Housing,Sunflower Oil,5.59,8, Plant-based Oil,5.48,3
Packaging Box,Beryllium,9.92,10,Aluminum Alloys,9.74,4
Automotive Component,Polypropylene Carbonate,6.33,8,CO2-based Polymers,6.49,3
Packaging Box,Creosote-treated Wood,3.0,9,Heat-treated Wood,3.05,3
Belt,Cork Leather,7.35,7,Tree Bark Leather,7.46,3
Electronic Housing,Neoprene,0.92,8,Natural Rubber,0.91,3
Toy,Corn Plastic,8.03,7, Compostable Corn Plastic,8.23,2
General Appliance Part,Acrylonitrile Butadiene Styrene,5.75,8,Natural Fiber Composites,5.74,3
General Appliance Part,Vinyl,4.69,8,Recycled Wood or Bamboo,4.66,3
Squeeze Bottle,High-Density Polyethylene,0.54,8,Biodegradable HDPE,0.53,3
Packaging Film,High-Density Polyethylene,5.59,8,Biodegradable HDPE,5.71,3
Luggage,Polycarbonate Panels,1.69,9,Recycled Polycarbonate,1.64,3
Circuit Board,Epoxy Resin,3.97,9,Bio-based Resin,3.88,3
General Appliance Part,Polyethersulfone,2.93,9,Bio-based Sulfones,2.99,4
Tire,Silicone Rubber,6.11,6, Natural Latex or Biodegradable Silicone,6.12,3
Packaging Box,Palm Oil,0.28,8, Certified Sustainable Palm Oil,0.29,3
Rubber Band,Silicone Rubber,9.48,6,Natural Latex or Biodegradable Silicone,9.61,3
Water Bottle,Plastic Packaging,3.35,10,Paper-based Packaging,3.27,2
Electronic Housing,Volatile Organic Compounds,2.54,9,Water-based Solutions,2.6,3
Industrial Coating,Terephthalic Acid,1.16,8,Bio-based Acids,1.18,3
General Appliance Part,Rosewood,7.68,9,Sustainable Plantation Wood,7.47,3
Electronic Housing,Corn Starch,8.53,8,Biodegradable Cornstarch,8.28,3
Jacket,Recycled Polyester,4.64,8,Recycled Polyester or Organic Cotton,4.57,3
Automotive Component,Polysulfone,7.37,9,Natural Sulfone Polymers,7.26,4
General Appliance Part,PCB Transformers,7.5,10,Dry-type Transformers,7.36,4
Packaging Box,Creosote-treated Wood,4.46,9,Heat-treated Wood,4.56,3
General Appliance Part,Methylene Chloride Paint Strippers,1.89,9,Soy-based Strippers,1.93,3
Clothing Apparel,Lotus Fiber,5.6,6,Aquatic Plant Fiber,5.74,2
Electronic Housing,Methyl Methacrylate,1.53,8,Natural Acrylates,1.56,3
General Appliance Part,Creosote-treated Wood,9.65,9,Heat-treated Wood,9.65,3
Pen,Thermoplastic Vulcanizates,5.61,8,Biodegradable Thermoplastic,5.63,3
Grocery Bag,Polyethylene Terephthalate Glycol,0.57,7,PLA-based materials,0.57,3
Storage Container,Plastic Cutlery,5.26,9,Bamboo Cutlery,5.41,2
Packaging Box,Banana Leaf,2.15,8,Compostable Leaf,2.16,3
Phone Case,Thermoplastic Vulcanizates,8.95,8, Biodegradable Thermoplastic,8.77,3
Packaging Box,Viscose Rayon,0.55,8,Lyocell,0.57,3
Electronic Housing,Mahogany,3.96,9,Fast-growing Hardwood,4.07,3
Shoes,Recycled Leather,0.75,9,Vegan Leather,0.77,3
Sponge,Cellulose Acetate Butyrate,0.21,7,Modified Natural Cellulose,0.21,2
General Appliance Part,Dieldrin,4.55,10,Natural Deterrents,4.66,2
Toothbrush Bristles,Nylon 66,2.09,8,Biodegradable Polymers,2.08,3
Automotive Component,Dichloromethane,3.32,10,Water-based Solvents,3.36,3
Towel,Cotton Waste,8.06,8,Hemp or Organic Cotton,8.14,3
Tool Handle,Cellulose Acetate,0.97,7,Natural Cellulose,0.97,2
Shampoo Bottle,Polyethylene Foam,8.5,8, Recycled Foam,8.7,3
General Appliance Part,Ozone-depleting Substances,8.49,10,Natural Refrigerants,8.54,3
Electronic Housing,Treated Wood,7.9,8, Recycled Wood,8.12,3
General Appliance Part,Styrofoam Cups,4.87,9,Compostable Paper Cups,4.74,3
General Appliance Part,Recycled Steel,9.34,8, Recycled Steel or Aluminum,9.27,3
Wire Coating,Teflon,6.25,10,Ceramic Coating or Cast Iron,6.41,4
Electronic Housing,Compostable Paper,6.43,7,Bamboo Paper,6.38,2
General Appliance Part,Compostable Utensils,2.23,8, Bamboo or Palm Leaf Utensils,2.23,3
Packaging Box,Hydrazine,0.49,9,Natural Reducing Agents,0.48,3
General Appliance Part,Coal Tar,4.06,9,Bio-based Tar,4.17,3
Retro Radio Casing,Bakelite,0.68,9,Wood-based Composites,0.68,4
Electronic Housing,Bagasse Composites,9.94,5,Sugarcane Waste Materials,9.8,2
Automotive Component,Vinyl Acetate,1.78,8,Natural Acetylation,1.73,3
General Appliance Part,Mineral Wool,0.94,8,Recycled Cotton Insulation,0.92,3
Packaging Box,Recycled Aluminum Cans,5.33,8,Recycled Aluminum,5.4,3
General Appliance Part,Recycled Paper Straws,7.8,8,Compostable Paper Straws,7.97,3
Automotive Component,Acetate,1.77,8, Bio-based Acetate,1.74,3
Automotive Component,Recycled Paperboard,2.0,7,Recycled Paper or Bamboo Paper,2.04,2
Electronic Housing,Zein (Corn Protein),8.11,7,Plant-based Protein Films,8.26,2
Automotive Component,Fluoropolymers,6.26,10,Silicon-based Polymers,6.12,4
Packaging Box,Microfiber,3.32,8,Hemp or Bamboo Fibers,3.4,3
Electronic Housing,Polybenzoxazine,8.69,8, Bio-based Polybenzoxazine,8.83,3
Electronic Housing,Olive Pit Composites,5.41,6,Fruit Waste Composites,5.25,2
Electronic Housing,Soybean Oil,0.74,8, Bio-based Oil,0.72,3
Automotive Component,Treated Wood,0.7,8,Recycled Wood,0.7,3
Toy,Corn Plastic,0.85,7, Compostable Corn Plastic,0.85,2
General Appliance Part,Tritan,9.34,9,Plant-based Tritan,9.62,3
Shoe Sole,Recycled Tyre Rubber,3.97,9,Recycled Rubber,4.06,3
Phone Case,Plastic Bags,7.05,9,Reusable Cloth Bags,6.92,2
Packaging Box,Biodegradable Paint,6.02,7,Natural Paints,5.96,2
Industrial Coating,Polylactic Acid (PLA),7.1,6,Compostable PLA,6.89,2
Mattress,Polyurethane,8.25,8,Biodegradable Polyurethane,8.48,3
Automotive Component,Radioactive Materials,1.31,10,Non-radioactive Alternatives,1.35,4
Pen,Thermoplastic Vulcanizates,1.16,8,Biodegradable Thermoplastic,1.13,3
Rubber Band,Nitrile Rubber,6.87,8, Natural Rubber,6.89,3
Squeeze Bottle,Bio-polyethylene,0.25,8,Biodegradable Polyethylene,0.24,3
Packaging Box,Glass Wool,4.69,8,Cellulose Insulation,4.69,3
Packaging Box,Mica,6.67,8,Recycled Glass,6.64,3
Electronic Housing,FSC-Certified Wood,8.23,8, Sustainable Wood,8.47,3
General Appliance Part,Acrylonitrile Butadiene Styrene,1.28,8,Natural Fiber Composites,1.27,3
Automotive Component,Synthetic Rugs,8.03,8,Jute or Wool Rugs,7.97,3
Packaging Box,Linseed Oil,0.85,7,Water-based Linseed Oil,0.87,3
Automotive Component,Chlorofluorocarbons,7.63,10,Natural Refrigerants,7.81,3
General Appliance Part,FSC-Certified Wood,3.32,8,Sustainable Wood,3.42,3
Jeans,Conventional Cotton,9.78,7,Organic Cotton or Hemp,9.58,3
Electronic Housing,Cling Film,2.16,9,Biodegradable Cling Wrap,2.16,2
Packaging Box,Methyl Bromide,9.76,10,Steam Treatment,9.5,2
Pen,Phthalate Plasticizers,7.24,9,Citrate-based Plasticizers,7.04,3
Packaging Box,Polybenzoxazine,3.53,8, Bio-based Polybenzoxazine,3.43,3
Packaging Box,Polypropylene,9.64,8, Glass,9.66,3
General Appliance Part,Chlorofluorocarbons,2.45,10,Natural Refrigerants,2.45,3
Automotive Component,DDT (Historical),1.85,10,Natural Pesticides,1.89,2
General Appliance Part,Perchloroethylene,6.32,9,CO2 Cleaning,6.49,3
Packaging Box,Flax,8.1,7,Organic Cotton,7.96,3
Jacket,Polyester Thread,6.73,8,Organic Cotton or Hemp Thread,6.81,2
Automotive Component,Recycled Wool,2.46,8,Recycled Wool Insulation,2.52,3
Blister Packaging,Polyester Carpet,6.02,8,Wool or Sisal Carpet,6.01,3
General Appliance Part,Polysulfone,6.69,9,Natural Sulfone Polymers,6.49,4
General Appliance Part,Polymethyl Methacrylate (PMMA),1.78,9,Recycled PMMA,1.83,3
Jacket,Polyester Film,9.47,7,Cornstarch-based Film,9.7,2
Bulletproof Glass,Polycarbonate Sheet,8.04,9,Recycled Glass,8.15,3
General Appliance Part,Chlorofluorocarbons,3.99,10,Natural Refrigerants,4.08,3
Packaging Box,Polyisocyanurate,2.15,8, Bio-based Polyisocyanurate,2.12,3
Electronic Housing,Coconut Shell,3.89,8,Compostable Shell,3.98,3
Umbrella,Nylon Rope,3.59,7,Jute or Hemp Rope,3.57,2
Electronic Housing,Banana Leaf,2.05,8,Compostable Leaf,2.1,3
General Appliance Part,Recycled Aluminum Cans,9.96,8,Recycled Aluminum,10.1,3
Packaging Box,Conventional Soil Pots,3.34,7,Biodegradable Peat Pots,3.37,2
Candle,Beeswax Wrap,5.59,8,Reusable Beeswax Wrap,5.43,3
General Appliance Part,PCB Transformers,1.84,10,Dry-type Transformers,1.89,4
Packaging Box,Carbon Black,7.06,8,Biochar or Vegetable-based Pigments,7.11,3
Electronic Housing,Styrofoam Cups,3.88,9,Compostable Paper Cups,3.92,3
General Appliance Part,Polyimide,0.08,8,Biodegradable Polyimide,0.08,3
Water Bottle,Coconut Oil-based Bioplastic,6.64,8,Compostable Plastic,6.55,3
Electronic Housing,Polyolefin Elastomer (POE),6.64,8, Biodegradable POE,6.77,3
Automotive Component,Recycled Paper Bags,9.68,7,Compostable Paper Bags,9.43,3
General Appliance Part,Recycled Aluminum Cans,0.81,8, Recycled Aluminum,0.79,3
Electronic Housing,Polyvinyl Butyral,4.55,8,Biodegradable PVB,4.52,3
Vinyl Record,Polyvinyl Chloride (PVC),4.77,8, Recycled PVC,4.81,3
Phone Case,Polyethylene (Plastic),2.11,9,Jute or Cotton,2.1,2
Electronic Housing,Cadmium Batteries,5.1,10,Lithium-ion Batteries,4.99,4
Packaging Box,Polymethyl Methacrylate (PMMA),3.04,9,Recycled PMMA,3.05,3
Electronic Housing,Polypropylene Carbonate,7.25,8,CO2-based Polymers,7.36,3
Electronic Housing,FSC-Certified Wood,9.23,8, Sustainable Wood,9.2,3
Packaging Box,Mercury Compounds,5.09,10,Electronic Sensors,5.06,3
Packaging Box,Recycled Glass Bottles,6.7,8, Glass or Biodegradable Bottles,6.89,3
Pen,Corn Plastic,2.25,7,Compostable Corn Plastic,2.22,2
Packaging Box,Recycled Copper,5.34,8,Recycled Copper or Plant-based Copper,5.26,3
Automotive Component,Mirex,7.15,10,Organic Pest Control,7.15,2
Molded Part,Polylactic Acid,3.59,5,Biodegradable Paper,3.64,2
Electronic Housing,Dichloromethane,3.45,10,Water-based Solvents,3.44,3
Clothing Apparel,Kapok Fiber,0.35,5,Tree Fiber Insulation,0.35,2
Packaging Box,Compostable Utensils,4.49,8,Bamboo or Palm Leaf Utensils,4.52,3
Curtains,Polyester Film,6.64,7,Cornstarch-based Film,6.7,2
Sponge,Cellulose,7.45,8,Recycled Cellulose,7.4,3
Packaging Box,Arsenic Compounds,2.98,10,Natural Preservatives,2.96,3
Automotive Component,Sunflower Oil,4.45,8, Plant-based Oil,4.55,3
Electronic Housing,Hempcrete,4.91,7,Bamboo-based Insulation,4.87,3
General Appliance Part,Dieldrin,1.65,10,Natural Deterrents,1.61,2
Automotive Component,Cork Packaging,3.1,8, Bamboo Packaging,3.06,3
Electronic Housing,FSC-Certified Wood,0.1,8, Sustainable Wood,0.1,3
Automotive Component,Recycled Steel,3.58,8, Recycled Steel or Aluminum,3.5,3
Electronic Housing,Polyvinyl Acetate Emulsion,2.79,8,Starch-based Adhesive,2.8,3
Automotive Component,Recycled Paper Straws,5.58,8, Compostable Paper Straws,5.59,3
Packaging Box,Brominated Flame Retardants,0.5,9,Phosphate-based Retardants,0.5,3
Bag,Lotus Fiber,3.66,6,Aquatic Plant Fiber,3.64,2
Electronic Housing,Asbestos (Historical),2.27,10,Cellulose Fiber,2.33,2
Automotive Component,Polypropylene Rope,7.84,8,Bamboo or Hemp Rope,7.65,3
Bag,Carbon Fiber,3.56,10,Natural Fiber Composites,3.53,4
General Appliance Part,Styrene Acrylonitrile,7.38,8,Natural Copolymers,7.17,3
Automotive Component,PLA,1.85,5,Biodegradable Paper,1.84,2
Packaging Box,Cedar,7.7,8,Reclaimed Wood,7.92,3
Industrial Coating,Polylactic Acid Film,0.6,8,Biodegradable Film,0.62,3
Electronic Housing,Recycled Paperboard,6.8,7,Recycled Paper or Bamboo Paper,6.68,2
Pen,Recycled Plastic,4.78,9, Plant-based Plastic,4.75,3
Retro Radio Casing,Bakelite,5.93,9,Wood-based Composites,6.04,4
General Appliance Part,Methylene Chloride Paint Strippers,9.09,9,Soy-based Strippers,9.34,3
Packaging Box,Soybean Oil,6.58,8,Bio-based Oil,6.67,3
General Appliance Part,Polyvinyl Acetate,8.26,8,Plant-based Glue,8.31,3
Umbrella,Nylon,8.24,7,Organic Cotton or Recycled Nylon,8.24,3
Toy,Fish Scale Plastics,2.6,8,Algae-based Plastics,2.63,3
General Appliance Part,Plant-based Paint,5.5,7,Water-based Paint,5.34,2
Storage Container,Algae-Based Bioplastic,8.08,7,Plant-based Bioplastics,8.17,2
Packaging Box,Ammonia,3.25,8,Vinegar or Baking Soda Solutions,3.3,2
Toy,Thermoplastic Vulcanizates,8.51,8,Biodegradable Thermoplastic,8.43,3
Packaging Box,Natural Stone,4.96,7,Recycled Stone,5.0,3
Jeans,Recycled Cotton,8.52,7,Biodegradable Cotton,8.43,2
Upholstery,Bamboo Fabric,1.02,8,Organic Cotton,1.04,3
Electronic Housing,Cork,9.08,8,Recycled Cork,9.02,3
General Appliance Part,Methyl Bromide,8.89,10,Steam Treatment,8.97,2
Electronic Housing,Chitosan,8.61,8,Bio-based Chitosan,8.75,3
General Appliance Part,Asbestos Cement,1.12,10,Fiber-reinforced Cement,1.14,3
Automotive Component,Polyoxymethylene,3.39,8,Natural Acetals,3.47,3
Phone Case,Recycled Plastic,0.45,9, Plant-based Plastic,0.45,3
Phone Case,Algae-Based Bioplastic,8.38,7,Plant-based Bioplastics,8.45,2
Automotive Component,Recycled Glass,7.66,9,Recycled Glass or Bio-based Glass,7.78,3
Automotive Component,Graphene,3.62,8,Recycled Graphene,3.65,3
Electronic Housing,Methyl Bromide,1.43,10,Steam Treatment,1.41,2
Rubber Band,Nitrile Rubber,3.8,8, Natural Rubber,3.71,3
Eyeglass Frame,Methyl Cellulose,7.11,7,Natural Thickeners,6.97,2
Disposable Cutlery,Coconut Oil-based Bioplastic,7.78,8, Compostable Plastic,7.7,3
Automotive Component,Acrylonitrile Styrene Acrylate,2.07,8,Bio-based Copolymers,2.03,3
Electronic Housing,Recycled Paperboard,9.04,7,Recycled Paper or Bamboo Paper,9.01,2
Electronic Housing,Spider Silk Protein,9.71,8,Recombinant Protein Fibers,9.96,3
General Appliance Part,Chitosan,3.7,8,Bio-based Chitosan,3.67,3
Electronic Housing,Acrylic Glass (Plexiglass),8.24,8,Polycarbonate or Glass,8.07,4
Automotive Component,Recycled Steel,3.93,8, Recycled Steel,3.88,3
Car Seat,Polyurethane Coating,4.89,8, Plant-based Coating,4.92,3
Jeans,Conventional Cotton,9.22,7,Organic Cotton or Hemp,9.17,3
Jacket,Recycled Polyester,0.62,8,Recycled Polyester or Organic Cotton,0.62,3
Molded Part,Sulfuric Acid,0.48,9,Citric Acid for Light Cleaning,0.48,2
Electronic Housing,Recycled Paper Straws,5.59,8,Compostable Paper Straws,5.56,3
Water Pipe,PVC Foam,4.08,8,Recycled Plastic Foam,4.11,3
General Appliance Part,Acrylonitrile,1.45,9,Bio-based Nitriles,1.44,3
Water Pipe,PVC Flooring,3.12,8,Cork Flooring,3.21,2
General Appliance Part,Ozone-depleting Substances,3.99,10,Natural Refrigerants,3.88,3
Automotive Component,Propylene Oxide,4.14,9,Enzymatic Processes,4.19,3
Automotive Component,Styrene Monomer,8.74,8,Natural Monomers,8.96,3
Phone Case,Fish Scale Plastics,6.02,8,Algae-based Plastics,6.05,3
Bag,Abaca Fiber,1.11,7,Banana Plant Fiber,1.1,3
Electronic Housing,Recycled PLA,2.04,8,Recycled PLA or Bamboo Fiber,2.06,3
